City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,General Description
659,Cerrito,CO,6.8432,-72.694,49.96,89,88,1.97,overcast clouds
660,Stepanov,CZ,49.684,17.2204,72.68,91,65,4.97,broken clouds
661,Kismayo,SO,-0.3582,42.5454,80.19,69,34,16.78,scattered clouds
662,Korla,CN,41.7597,86.1469,92.3,18,0,11.34,clear sky
663,Havelian,PK,34.0536,73.1657,88.83,50,0,5.26,clear sky
664,Kailua,US,21.4022,-157.7394,80.58,71,75,11.5,broken clouds
665,Nome,US,64.5011,-165.4064,46.47,87,90,11.5,light rain
666,Evensk,RU,61.95,159.2333,54.86,84,100,6.31,light rain
667,Clearwater,US,27.9659,-82.8001,79.93,85,1,4.0,clear sky
668,Vestmanna,FO,62.1564,-7.1664,58.12,82,75,2.3,broken clouds
669,Kimbe,PG,-5.5502,150.1429,78.22,87,29,4.97,moderate rain
670,Rio Claro,BR,-22.4114,-47.5614,57.16,71,80,2.95,broken clouds
671,Imbituva,BR,-25.23,-50.6044,51.58,99,94,2.44,overcast clouds
672,Peniche,PT,39.3558,-9.3811,67.73,88,58,14.45,broken clouds
673,Champerico,GT,14.3,-91.9167,81.36,85,100,7.25,overcast clouds
674,Bowen,AU,-20.0167,148.2333,71.82,71,2,18.28,clear sky
675,Maniitsoq,GL,65.4167,-52.9,42.24,91,100,17.49,moderate rain
676,Buchanan,LR,5.8808,-10.0467,71.56,80,97,2.37,overcast clouds
677,Nuevo Progreso,MX,23.1667,-97.95,80.6,90,24,3.65,few clouds
678,Varhaug,NO,58.6147,5.6457,63.95,80,100,29.33,light rain
679,Ambon,ID,-3.6954,128.1814,78.94,89,40,3.44,scattered clouds
680,Calama,CL,-22.4667,-68.9333,43.29,14,5,19.57,clear sky
681,Raudeberg,NO,61.9875,5.1352,69.19,69,44,1.72,scattered clouds
682,Requena,ES,39.4883,-1.1004,77.52,28,1,18.75,clear sky
683,Koppang,NO,61.5706,11.0555,60.33,55,99,3.62,overcast clouds
684,Russkaya Polyana,UA,49.417,31.9201,71.6,62,97,10.89,overcast clouds
685,Moose Factory,CA,51.2585,-80.6094,42.78,93,1,5.75,clear sky
686,Huarmey,PE,-10.0681,-78.1522,62.56,87,48,8.34,scattered clouds
687,Ust-Kuyga,RU,70.0167,135.6,74.35,28,5,6.87,clear sky
688,Khudumelapye,BW,-23.8833,24.75,71.58,18,0,5.37,clear sky
689,Touros,BR,-5.1989,-35.4608,72.5,85,89,15.5,overcast clouds
690,Cochabamba,BO,-17.3895,-66.1568,54.81,57,0,0.0,clear sky
691,Brownsville,US,25.9018,-97.4975,81.91,83,1,1.99,clear sky
692,Entre Rios,BR,-11.9419,-38.0844,62.65,97,6,4.68,clear sky
693,Novobiryusinskiy,RU,56.9578,97.7076,82.17,28,25,5.68,scattered clouds
694,Wanning,CN,18.8003,110.3967,88.81,70,100,9.01,overcast clouds
695,Turbat,PK,26.0023,63.044,106.05,21,35,7.78,scattered clouds
696,Devonport,AU,-41.1667,146.35,54.0,50,21,5.03,few clouds
697,Nhulunbuy,AU,-12.2333,136.7667,79.41,57,75,17.27,broken clouds
698,Rawson,AR,-43.3002,-65.1023,49.15,38,100,19.01,overcast clouds
699,Batagay-Alyta,RU,67.8006,130.4114,71.15,30,99,9.4,overcast clouds
700,Clarence Town,AU,-32.5833,151.7833,61.34,49,0,7.38,clear sky
701,La Rioja,ES,42.25,-2.5,62.04,47,80,3.8,broken clouds
702,North Platte,US,41.1239,-100.7654,74.25,65,1,3.0,clear sky
703,Lubango,AO,-14.9172,13.4925,69.66,16,0,4.61,clear sky
704,Rio Gallegos,AR,-51.6226,-69.2181,33.85,75,0,14.97,clear sky
705,Shimoda,JP,34.6667,138.95,80.96,89,100,12.35,moderate rain
706,Doka,SD,13.5167,35.7667,82.33,62,88,6.33,overcast clouds
707,Opuwo,NA,-18.0607,13.84,72.9,19,0,11.65,clear sky
708,Padang,ID,-0.9492,100.3543,86.05,74,74,4.97,broken clouds
709,Kars,TR,40.602,43.095,77.85,38,75,2.3,broken clouds
710,Flagstaff,US,35.1981,-111.6513,71.26,52,1,5.01,clear sky
711,Pozzallo,IT,36.7305,14.8499,90.21,50,0,6.02,clear sky
712,Ngunguru,NZ,-35.6167,174.5,56.16,80,25,11.97,scattered clouds
713,Tahara,JP,34.6667,137.2667,90.23,50,100,20.54,heavy intensity rain
714,Ruyigi,BI,-3.45,30.3167,74.88,39,8,10.63,clear sky
715,Nedjo,ET,9.5046,35.5019,62.94,91,100,3.04,light rain
716,Hauterive,FR,46.0901,3.4459,61.09,97,100,5.64,light rain
717,Boyolangu,ID,-8.1181,111.8935,83.93,68,39,8.99,scattered clouds
718,Khuzhir,RU,53.1939,107.3397,54.75,90,99,9.78,overcast clouds
719,Guiglo,CI,6.5456,-7.4966,71.47,85,100,3.94,overcast clouds
720,Koslan,RU,63.4564,48.8989,64.49,44,6,6.11,clear sky
721,Baiyin,CN,36.5583,104.2081,86.88,22,41,2.46,scattered clouds
